path,color_l,color_a,color_b,weight
dataset_v0.1/61ZCV0XBsQL._AC_SX679_.png,126,150,145,0.1595963261624835
dataset_v0.1/61ZCV0XBsQL._AC_SX679_.png,79,148,143,0.11974394142353198
dataset_v0.1/61ZCV0XBsQL._AC_SX679_.png,131,146,144,0.08531105406689117
dataset_v0.1/61ZCV0XBsQL._AC_SX679_.png,122,130,131,0.026072825663494843
dataset_v0.1/61ZCV0XBsQL._AC_SX679_.png,162,138,139,0.020255738369827997
dataset_v0.1/81xKbpuK39L._AC_SX679_.png,174,145,130,0.2979754093515399
dataset_v0.1/81xKbpuK39L._AC_SX679_.png,196,144,130,0.268336584500798
dataset_v0.1/81xKbpuK39L._AC_SX679_.png,183,142,133,0.13091564698232547
dataset_v0.1/81xKbpuK39L._AC_SX679_.png,218,140,131,0.11894839510551516
dataset_v0.1/81xKbpuK39L._AC_SX679_.png,128,147,134,0.0660016551398002
dataset_v0.1/81xKbpuK39L._AC_SX679_.png,213,141,130,0.06207956493468109
dataset_v0.1/81xKbpuK39L._AC_SX679_.png,242,134,130,0.03438848495596146
dataset_v0.1/81xKbpuK39L._AC_SX679_.png,117,129,129,0.021354259029378733
dataset_v0.1/81l3XcKcFoL._AC_SX679_.png,65,145,142,0.17399846737996877
dataset_v0.1/81l3XcKcFoL._AC_SX679_.png,76,142,139,0.17004592098364246
dataset_v0.1/81l3XcKcFoL._AC_SX679_.png,66,143,141,0.15151907996704292
dataset_v0.1/81l3XcKcFoL._AC_SX679_.png,45,144,140,0.14880818626518935
dataset_v0.1/81l3XcKcFoL._AC_SX679_.png,83,142,139,0.12214290241358847
dataset_v0.1/81l3XcKcFoL._AC_SX679_.png,33,136,133,0.09666165396205326
dataset_v0.1/81l3XcKcFoL._AC_SX679_.png,74,146,145,0.07732817082375446
dataset_v0.1/81l3XcKcFoL._AC_SX679_.png,43,132,130,0.05949561820476034
dataset_v0.1/61kqnjEbrsL._AC_SX679_.png,109,89,147,0.42023993730281534
dataset_v0.1/61kqnjEbrsL._AC_SX679_.png,119,185,129,0.2953921588328678
dataset_v0.1/61kqnjEbrsL._AC_SX679_.png,116,182,129,0.13214235476156985
dataset_v0.1/61kqnjEbrsL._AC_SX679_.png,144,80,152,0.05704639993569519
dataset_v0.1/61kqnjEbrsL._AC_SX679_.png,155,185,116,0.030806020537347024
dataset_v0.1/61kqnjEbrsL._AC_SX679_.png,97,108,135,0.024074111287502763
dataset_v0.1/61kqnjEbrsL._AC_SX679_.png,115,163,125,0.02357976810079778
dataset_v0.1/61kqnjEbrsL._AC_SX679_.png,93,138,127,0.016719249241404256
dataset_v0.1/91oERj6ZjcL._AC_SX679_.png,70,135,107,0.20192581807215573
dataset_v0.1/91oERj6ZjcL._AC_SX679_.png,69,136,105,0.20160775416251417
dataset_v0.1/91oERj6ZjcL._AC_SX679_.png,66,136,105,0.18586948070765685
dataset_v0.1/91oERj6ZjcL._AC_SX679_.png,65,139,101,0.133690507323716
dataset_v0.1/91oERj6ZjcL._AC_SX679_.png,38,138,105,0.12362319557632002
dataset_v0.1/91oERj6ZjcL._AC_SX679_.png,51,138,103,0.09834300483221539
dataset_v0.1/91oERj6ZjcL._AC_SX679_.png,39,133,113,0.028057948888307736
dataset_v0.1/91oERj6ZjcL._AC_SX679_.png,77,128,127,0.026882290437114053
dataset_v0.1/71r14VLy+ZL._AC_SX679_.png,140,122,131,0.21019950949495453
dataset_v0.1/71r14VLy+ZL._AC_SX679_.png,103,125,123,0.1833995868774299
dataset_v0.1/71r14VLy+ZL._AC_SX679_.png,70,132,102,0.15418770242693908
dataset_v0.1/71r14VLy+ZL._AC_SX679_.png,66,128,113,0.14625911896307484
dataset_v0.1/71r14VLy+ZL._AC_SX679_.png,210,131,136,0.1387455302259693
dataset_v0.1/71r14VLy+ZL._AC_SX679_.png,146,129,128,0.10069706633051054
dataset_v0.1/71r14VLy+ZL._AC_SX679_.png,145,141,135,0.054685696099049566
